Unnamed: 0,id,state,guests,beds,property_type,n_reviews,rating,price,neighborhood,city
359,ZT2269,Massachusetts,4,2,Apartment,55.0,94.0,119,Back Bay,Boston
360,TY9267,Massachusetts,6,3,House,21.0,92.0,104,Roslindale,Boston
361,AU1265,California,2,1,Apartment,3.0,93.0,79,Hollywood Hills,Los Angeles
362,BG5317,Massachusetts,2,1,Apartment,11.0,91.0,150,South End,Boston
363,RI3418,Massachusetts,5,2,Apartment,1.0,100.0,179,Chinatown,Boston
364,HB9667,Massachusetts,2,1,Bed & Breakfast,12.0,93.0,70,Jamaica Plain,Boston
365,RQ4366,California,2,1,Loft,30.0,93.0,146,Mission District,San Francisco
366,LP6045,Illinois,2,1,Apartment,0.0,94.0,115,Loop,Chicago
367,AH3876,Massachusetts,1,1,Apartment,18.0,87.0,79,Dorchester,Boston
368,HH1056,Illinois,2,2,Loft,6.0,86.0,125,Loop,Chicago
369,ET3593,California,2,1,Apartment,1.0,100.0,144,Silver Lake,Los Angeles
370,IW3658,Illinois,2,1,Apartment,95.0,94.0,85,Logan Square,Chicago
371,BG4878,Massachusetts,2,2,Apartment,28.0,94.0,55,Dorchester,Boston
372,ZP8116,Massachusetts,3,2,Apartment,79.0,95.0,169,Back Bay,Boston
373,KS6741,California,2,1,Apartment,69.0,94.0,104,Mission District,San Francisco
374,HN4426,California,2,1,House,5.0,97.0,119,Outer Sunset,San Francisco
375,YD3671,California,2,1,Apartment,2.0,89.0,59,Mission District,San Francisco
376,SO6823,California,6,3,Apartment,21.0,97.0,133,Hollywood,Los Angeles
377,FK3103,Illinois,4,2,Apartment,2.0,89.0,106,Lakeview,Chicago
378,XD4513,California,4,3,House,54.0,97.0,106,Hollywood Hills,Los Angeles
379,LH7436,California,2,1,Guesthouse,145.0,96.0,124,Long Beach,Los Angeles
380,CE8316,Illinois,4,2,Apartment,21.0,97.0,100,Logan Square,Chicago
381,GX4786,California,2,1,House,33.0,96.0,59,South LA,Los Angeles
382,YL5932,California,6,3,House,19.0,98.0,154,Monrovia,Los Angeles
383,GW8309,Illinois,2,1,House,40.0,98.0,102,Lincoln Square,Chicago
384,VH5680,Illinois,6,4,Apartment,17.0,97.0,71,West Ridge,Chicago
385,LJ1820,California,4,2,House,1.0,98.0,74,Reseda,Los Angeles
386,QX3144,California,2,1,House,66.0,96.0,150,Los Feliz,Los Angeles
387,XB4942,California,4,2,House,5.0,87.0,74,Eagle Rock,Los Angeles
388,HW9138,Illinois,4,2,Apartment,78.0,97.0,179,Lincoln Square,Chicago
389,PN7000,California,1,1,Apartment,9.0,89.0,119,Hollywood,Los Angeles
390,UM8992,Massachusetts,2,1,House,2.0,60.0,69,West Roxbury,Boston
391,QE6578,California,5,3,House,69.0,96.0,85,Mid-Wilshire,Los Angeles
392,QQ4639,California,4,1,Apartment,5.0,92.0,97,Westside,Los Angeles
393,DK4026,Illinois,4,1,Apartment,7.0,94.0,139,Bucktown,Chicago
394,PM8220,California,2,1,Apartment,54.0,97.0,87,Manhattan Beach,Los Angeles
395,QB8397,California,2,1,Bungalow,56.0,97.0,100,Mid-Wilshire,Los Angeles
396,SN2126,Illinois,5,3,Apartment,37.0,90.0,152,Uptown,Chicago
397,FX4972,California,4,2,Apartment,43.0,95.0,125,Pasadena,Los Angeles
398,FG2345,California,2,1,Apartment,62.0,93.0,64,Mid-Wilshire,Los Angeles
399,BN1735,Massachusetts,5,2,Apartment,21.0,96.0,129,Hyde Park,Boston
400,XC8756,Massachusetts,5,3,Apartment,20.0,90.0,190,Allston-Brighton,Boston
401,ER8369,Illinois,3,1,Apartment,15.0,93.0,104,Wicker Park,Chicago
402,NY4655,California,3,2,Bed & Breakfast,3.0,78.0,100,Glendale,Los Angeles
403,XO3802,California,2,1,Apartment,12.0,98.0,121,Westlake,Los Angeles
404,KT8446,Illinois,5,2,House,80.0,91.0,85,Logan Square,Chicago
405,DG2424,California,4,2,Condominium,4.0,90.0,115,Long Beach,Los Angeles
406,PV1113,Illinois,2,1,Apartment,53.0,94.0,64,Logan Square,Chicago
407,EA3168,California,6,4,Apartment,10.0,71.0,139,East Hollywood,Los Angeles
408,CA1963,Massachusetts,2,1,Apartment,8.0,90.0,150,Back Bay,Boston
409,KW4349,California,2,1,Apartment,4.0,98.0,100,Venice,Los Angeles
410,ZX9794,California,2,1,House,44.0,100.0,155,Mid-Wilshire,Los Angeles
411,WL3940,Illinois,4,2,Apartment,19.0,89.0,119,Hyde Park,Chicago
412,DE2004,California,3,1,House,79.0,98.0,64,Boyle Heights,Los Angeles
413,EK6468,California,5,3,Apartment,2.0,99.0,138,West Hollywood,Los Angeles
414,EH4553,California,1,1,Apartment,6.0,89.0,59,Mission District,San Francisco
415,XK8818,Illinois,4,2,Apartment,10.0,91.0,125,Rogers Park,Chicago
416,OI6493,Massachusetts,4,1,Apartment,16.0,94.0,150,Back Bay,Boston
417,DP9054,California,2,1,Apartment,19.0,88.0,125,Hollywood,Los Angeles
418,DZ3129,California,2,1,Apartment,10.0,96.0,126,Brentwood,Los Angeles
419,QL3345,California,4,1,Apartment,52.0,96.0,177,Downtown,Los Angeles
420,UC3651,Massachusetts,2,1,Apartment,1.0,100.0,115,Allston-Brighton,Boston
421,CC5669,Massachusetts,2,1,Apartment,22.0,99.0,98,Downtown Crossing,Boston
422,GW3917,Illinois,4,1,Apartment,1.0,100.0,64,Humboldt Park,Chicago
423,SK3939,California,10,6,House,82.0,82.0,198,Torrance,Los Angeles
424,VL3851,Illinois,4,2,Apartment,6.0,100.0,59,Gold Coast,Chicago
425,KQ7760,California,2,2,Apartment,3.0,99.0,79,Mid-Wilshire,Los Angeles
426,OD4038,California,2,1,Apartment,173.0,97.0,104,Presidio,San Francisco
427,TJ9293,California,4,1,Apartment,2.0,90.0,135,Torrance,Los Angeles
428,OD4237,California,2,1,House,12.0,97.0,76,El Segundo,Los Angeles
429,RS6949,California,2,1,House,52.0,98.0,119,Glen Park,San Francisco
430,NF1849,Massachusetts,5,2,Apartment,4.0,93.0,177,Back Bay,Boston
431,RR4859,California,2,1,Apartment,3.0,87.0,135,West Los Angeles,Los Angeles
432,RA7225,Illinois,2,1,Apartment,13.0,89.0,70,Uptown,Chicago
433,UV1980,Massachusetts,4,2,Apartment,3.0,79.0,195,Fenway/Kenmore,Boston
434,FK1418,California,2,1,House,64.0,96.0,70,San Pedro,Los Angeles
435,IT1593,Massachusetts,1,1,Apartment,2.0,100.0,64,Fenway/Kenmore,Boston
436,TP6054,Massachusetts,6,3,Apartment,24.0,95.0,128,Roxbury,Boston
437,PY4128,California,6,3,House,56.0,84.0,175,Mid-Wilshire,Los Angeles
438,SF4556,Massachusetts,4,2,Apartment,3.0,99.0,85,Chinatown,Boston
439,JX3709,California,4,3,Apartment,13.0,97.0,164,Long Beach,Los Angeles
440,EK7778,California,4,1,House,14.0,97.0,98,Redondo Beach,Los Angeles
441,CO7759,Massachusetts,2,1,House,146.0,93.0,69,South Boston,Boston
443,TJ1053,California,2,1,House,25.0,91.0,125,Alamo Square,San Francisco
444,FF5853,Massachusetts,2,2,House,30.0,88.0,98,Allston-Brighton,Boston
445,FS8844,California,2,1,Apartment,19.0,96.0,115,Downtown,San Francisco
446,BT3164,Illinois,2,1,Apartment,4.0,95.0,119,Humboldt Park,Chicago
447,RJ9846,Illinois,4,1,Apartment,18.0,94.0,149,Loop,Chicago
449,FL3152,Illinois,4,2,Apartment,3.0,87.0,109,Loop,Chicago
450,GJ5873,Massachusetts,6,3,Apartment,52.0,97.0,149,North End,Boston
451,DT4158,Illinois,2,1,Condominium,10.0,99.0,69,Logan Square,Chicago
452,LN3479,California,2,2,Apartment,25.0,97.0,91,East Hollywood,Los Angeles
453,PJ7285,Illinois,3,1,Apartment,33.0,97.0,79,Boystown,Chicago
454,DN8123,California,2,1,Cabin,55.0,92.0,110,Laurel Canyon,Los Angeles
455,GN7672,Illinois,2,1,Condominium,23.0,97.0,76,Uptown,Chicago
456,VZ3018,Massachusetts,2,1,Apartment,2.0,99.0,62,Jamaica Plain,Boston
457,QP5542,Massachusetts,2,1,House,329.0,86.0,100,East Boston,Boston
458,JO4931,Massachusetts,3,2,Apartment,9.0,89.0,128,Downtown Crossing,Boston
459,CW5291,California,2,1,Apartment,1.0,99.0,119,Civic Center,San Francisco
460,UM9871,Massachusetts,1,1,House,40.0,89.0,98,Back Bay,Boston
461,DV3941,California,2,1,Guesthouse,86.0,93.0,129,Mid-Wilshire,Los Angeles
462,RU4360,Illinois,4,2,Apartment,38.0,93.0,127,Wicker Park,Chicago
463,FC8427,Illinois,4,2,Apartment,9.0,95.0,128,Lincoln Park,Chicago
464,EL4129,Massachusetts,2,2,Apartment,2.0,60.0,69,Roxbury,Boston
465,YQ9488,Massachusetts,1,1,House,68.0,97.0,105,South Boston,Boston
466,YQ8014,Massachusetts,3,2,Apartment,4.0,100.0,129,Fenway/Kenmore,Boston
467,JJ4265,Massachusetts,4,3,Apartment,226.0,87.0,115,Dorchester,Boston
468,HF6260,California,2,1,Apartment,26.0,99.0,74,West Hollywood,Los Angeles
469,HB6896,Illinois,2,1,Apartment,10.0,93.0,41,Lakeview,Chicago
470,KZ1671,California,2,1,Apartment,102.0,91.0,109,Santa Monica,Los Angeles
471,BR7193,California,2,1,Apartment,38.0,98.0,74,Hollywood Hills,Los Angeles
472,LS9255,California,3,1,Apartment,2.0,90.0,100,Westwood,Los Angeles
473,RO7191,Illinois,4,2,Apartment,21.0,97.0,115,Wrigleyville,Chicago
474,BV3279,California,4,2,House,39.0,96.0,195,Del Rey,Los Angeles
475,RP7516,Massachusetts,4,2,Condominium,39.0,92.0,159,South End,Boston
476,BY7562,Massachusetts,2,1,Apartment,6.0,97.0,100,Jamaica Plain,Boston
477,XW1925,California,4,3,Apartment,1.0,100.0,98,Westlake,Los Angeles
